date,demand_mean,demand_peak,wind,solar
2016-01-01,29360.0,37511,2049.1,131.6
2016-01-02,30071.0,40880,2261.9,95.7
2016-01-03,30849.3,41764,2155.2,86.6
2016-01-04,36097.9,46917,1784.5,223.1
2016-01-05,37103.5,47656,1436.2,215.5
2016-01-06,37385.7,47576,1403.6,205.6
2016-01-07,36212.7,47024,2584.7,288.8
2016-01-08,37653.2,47322,1079.2,369.1
2016-01-09,33690.6,43206,1356.9,146.0
2016-01-10,32404.7,44879,2016.4,344.4
2016-01-11,38662.3,48971,966.0,214.9
2016-01-12,38279.1,48387,1968.9,283.8
2016-01-13,39282.8,49207,1214.6,443.0
2016-01-14,39146.0,48553,1900.2,389.1
2016-01-15,39027.0,48752,1590.6,702.6
2016-01-16,37227.9,47926,565.0,481.2
2016-01-17,36479.8,47731,903.0,183.4
2016-01-18,40757.2,51102,804.2,219.4
2016-01-19,41344.8,50947,199.5,555.5
2016-01-20,41213.6,50443,404.4,635.4
2016-01-21,40326.2,49677,1607.1,265.2
2016-01-22,37353.5,46827,2285.9,208.5
2016-01-23,33340.3,43192,1728.2,367.8
2016-01-24,31639.7,42097,1902.4,167.9
2016-01-25,34845.0,45918,2418.1,315.0
2016-01-26,35911.8,46281,2787.0,129.8
2016-01-27,35948.6,46150,2393.1,140.9
2016-01-28,35881.7,46214,2491.0,700.9
2016-01-29,34876.1,44373,3250.1,249.4
2016-01-30,31508.5,42145,2886.9,595.8
2016-01-31,32817.4,43540,1668.9,166.2
2016-02-01,34599.8,45656,3318.1,330.8
2016-02-02,35303.0,46878,3101.1,707.1
2016-02-03,37349.4,47248,1716.0,604.2
2016-02-04,36946.4,47788,1553.4,344.1
2016-02-05,35097.0,44416,2247.7,211.7
2016-02-06,32607.6,41405,2355.0,103.8
2016-02-07,30530.5,41270,2929.2,632.6
2016-02-08,36302.2,47256,2346.8,366.8
2016-02-09,36926.3,47021,1954.4,642.4
2016-02-10,37498.7,47500,1444.1,724.2
2016-02-11,38214.2,47505,555.9,989.6
2016-02-12,38257.6,47570,848.9,465.9
2016-02-13,34724.2,44408,1455.6,261.0
2016-02-14,32853.8,43694,1441.4,819.8
2016-02-15,38090.4,48493,1094.0,1082.2
2016-02-16,37589.4,47032,2021.7,1097.6
2016-02-17,39231.2,47902,1104.3,282.4
2016-02-18,38051.2,47942,713.2,1104.4
2016-02-19,36323.1,44586,1980.1,796.0
